	time_arr_filter	jy_lin	jy_ext	jy_unsc	jy_err_lin	jy_err_ext	jy_err_unsc	jy_steady_err	jz_lin	jz_ext	jz_unsc	jz_err_lin	jz_err_ext	jz_err_unsc	jz_steady_err	q_lin	q_ext	q_unsc	q_err_lin	q_err_ext	q_err_unsc	q_steady_err	p_lin	p_ext	p_unsc	p_err_lin	p_err_ext	p_err_unsc	p_steady_err
0	0.0	0.14377008850452702	0.1443037033342172	0.14425592686240182	0.0010035413593005485	0.0010035413593005485	0.0010069617766749301	0.0005221525861347855	2.404108127727634	2.4041418367125127	2.4041471901894123	9.921587673453593e-06	9.921587673453593e-06	2.5509127618344877e-05	7.827643911596658e-06	0.004783951916396561	0.003102742522199832	0.003100521341482918	0.0007948574883366213	0.0007948574883366213	0.0007964063271816565	2.5767262229004637e-05	1.1582271319361046e-06	7.511949608662856e-07	0.0	0.0009899032789645122	0.0009899032789645122	0.0009898046170905008	7.786399084283102e-05
1	0.01	0.08162401620117077	0.08358192817793128	0.04723520047955965	0.0009946166342786028	0.0009946166342786028	0.0009969058965667954	0.0005221525861347855	3.383342251317824	3.3834866473328575	3.3856301046038917	9.579623321925018e-06	9.579623321925018e-06	2.5188182156294568e-05	7.827643911596658e-06	1.7542012786303298	1.746766677017757	1.666326070535543	0.00011758771974325143	0.00011758771974325143	0.00014799297178089187	2.2989565831512873e-05	0.1613419650902108	0.16080943878700393	0.3043059558640751	0.0009742975940333759	0.0009742975940333759	0.0009583130506509255	8.064168724032278e-05
2	0.02	0.29018353707317496	0.26680791271884036	0.22389966690974877	0.0009964766011615286	0.0009964766011615286	0.0009985379779232845	0.0005221525861347855	4.394034458318098	4.393829062761566	4.395501601415847	8.781799873751685e-06	8.781799873751685e-06	2.4528187478313045e-05	7.827643911596658e-06	1.892069020107944	1.8859992467877438	1.801937971311503	7.013972606662368e-05	7.013972606662368e-05	0.00010250938374294606	2.2786815585495378e-05	0.34419047298895816	0.3452915652573356	0.4891148308029506	0.0008873918917420945	0.0008873918917420945	0.0008694413970591467	8.084443748634026e-05
3	0.03	0.5568423086504982	0.5066705553428316	0.4580257322980032	0.000999222869690562	0.000999222869690562	0.0010013425514548283	0.0005221525861347855	5.587478620725978	5.587106215047637	5.594024016860369	8.475047490180961e-06	8.475047490180961e-06	2.42675528600492e-05	7.827643911596658e-06	1.9680895590202396	1.9626460355208075	1.8562758918692959	7.366805193375131e-05	7.366805193375131e-05	0.0001070419466030173	2.517712256658772e-05	0.9465798788375023	0.9518673996746968	1.0228244709542813	0.0006842103434237629	0.0006842103434237629	0.0006882973269267319	7.845413050524796e-05
4	0.04	0.9154849412668834	0.8358746532573642	0.7860991971837122	0.0010020971788626202	0.0010020971788626202	0.0010043684169112484	0.0005221525861347855	6.681996771705134	6.683736509042279	6.6833801062584	8.458968100091978e-06	8.458968100091978e-06	2.4240637243254372e-05	7.827643911596658e-06	1.9427088652945346	1.9379467479662276	1.8264227665746127	8.16462869826432e-05	8.16462869826432e-05	0.00011352371558015054	2.9946967771103595e-05	1.106706993556439	1.0906920646746834	1.1677457716643884	0.0004514832234263141	0.0004514832234263141	0.0004779435388947695	7.368428530073208e-05
5	0.05	1.3344129012379673	1.2255782090835432	1.1742591773597353	0.00100488058288243	0.00100488058288243	0.001007353955624231	0.0005221525861347855	7.805501551543793	7.806104035628595	7.807226341893759	8.423412942642309e-06	8.423412942642309e-06	2.4216151794034502e-05	7.827643911596658e-06	1.892720098121449	1.8887517092609272	1.7680047750593708	8.664817201821655e-05	8.664817201821655e-05	0.00011553598021357192	3.667027513272084e-05	1.324433966927466	1.3022351208763874	1.3775697708754036	0.00028046564853225994	0.00028046564853225994	0.0003128102683641928	6.696097793911482e-05
6	0.06	1.8136043023421968	1.6754271201246447	1.6235337914629737	0.0010073890495157377	0.0010073890495157377	0.0010101169005174305	0.0005221525861347855	8.943889035878192	8.943629613067587	8.946951623706532	8.330592157192826e-06	8.330592157192826e-06	2.414908120512009e-05	7.827643911596658e-06	1.8269458279832185	1.822483896189119	1.6937586164313292	8.985859054378037e-05	8.985859054378037e-05	0.00011538963446453159	4.47464716285245e-05	1.535294982356064	1.515346904735797	1.5808031796960962	0.0001757678493932702	0.0001757678493932702	0.00020513611526181796	5.8884781443311156e-05
7	0.07	2.372639312702337	2.2052494603633845	2.154078646160265	0.0010094029495827698	0.0010094029495827698	0.0010124521524314829	0.0005221525861347855	9.933621250571269	9.932834772119783	9.933513287871733	8.221261064319291e-06	8.221261064319291e-06	2.4061053010016236e-05	7.827643911596658e-06	1.8068888090832849	1.801008790036806	1.6741436923444044	9.237344204718875e-05	9.237344204718875e-05	0.00011482432687319747	5.3454134678486455e-05	1.5266878043923882	1.5117322567543405	1.573040572651145	0.00011380247701907237	0.00011380247701907237	0.00013870059607271501	5.017711839334922e-05
8	0.08	2.989233934922711	2.7944087114088374	2.7449193496050213	0.0010106636513680296	0.0010106636513680296	0.0010141091228827851	0.0005221525861347855	10.798534895150945	10.796233562043948	10.797670008776016	8.121689698194815e-06	8.121689698194815e-06	2.396999185130956e-05	7.827643911596658e-06	1.7939228033738823	1.7839429519375147	1.6617805317540977	9.437816235907563e-05	9.437816235907563e-05	0.00011425625426724438	6.201543467596159e-05	1.497654955458495	1.4940075578846927	1.5465938103184549	7.648959722048694e-05	7.648959722048694e-05	9.779005469082598e-05	4.1615818395874066e-05
9	0.09	3.6325192928376104	3.412706180754835	3.367597679711011	0.0010108935750276467	0.0010108935750276467	0.0010147966966393702	0.0005221525861347855	11.597171135110251	11.593720023279928	11.599003633423074	8.040749453415652e-06	8.040749453415652e-06	2.3885929335412986e-05	7.827643911596658e-06	1.748254799660959	1.7319711197821317	1.6158774578339832	9.56553459257337e-05	9.56553459257337e-05	0.00011352191070272376	6.96656161898776e-05	1.5432331196499232	1.5532754597727445	1.5900407443109799	5.3678312940345265e-05	5.3678312940345265e-05	7.250523514680173e-05	3.3965636881958085e-05
